month,date,species,length ,weight,basin ,diet_item,number,diet_weight,weight_total,prop_weight,total_num,prop_number
June,6/13/2024,LMB,275,210,reference,fish,2,0.01919,8.59023,0.002233933,560,0.003571429
June,6/13/2024,LMB,275,210,reference,odonata ,1,0.01046,8.59023,0.001217662,560,0.001785714
June,6/13/2024,LMB,295,260,reference,fish,9,0.04353,8.59023,0.005067385,560,0.016071429
June,6/13/2024,LMB,295,260,reference,odonata ,1,0.00218,8.59023,0.000253777,560,0.001785714
June,6/13/2024,LMB,325,360,reference,coleoptera ,1,0.00742,8.59023,0.000863772,560,0.001785714
June,6/13/2024,LMB,325,360,reference,fish,2,0.53919,8.59023,0.062767819,560,0.003571429
June,6/13/2024,LMB,255,140,reference,fish,2,0.08488,8.59023,0.009880993,560,0.003571429
June,6/13/2024,LMB,255,140,reference,odonata ,4,0.03658,8.59023,0.004258326,560,0.007142857
June,6/13/2024,LMB,285,230,reference,diptera,1,0.00522,8.59023,0.000607667,560,0.001785714
June,6/13/2024,LMB,285,230,reference,odonata ,4,0.04648,8.59023,0.005410798,560,0.007142857
June,6/13/2024,LMB,295,150,reference,fish,4,0.4515,8.59023,0.05255971,560,0.007142857
July,7/11/2024,LMB,265,215,reference,fish,2,0.09618,8.59023,0.011196441,560,0.003571429
July,7/11/2024,LMB,290,250,reference,fish,10,0.33585,8.59023,0.039096741,560,0.017857143
July,7/11/2024,LMB,271,210,reference,fish,2,0.05469,8.59023,0.006366535,560,0.003571429
July,7/11/2024,LMB,315,325,reference,fish,5,0.2197,8.59023,0.025575567,560,0.008928571
July,7/11/2024,LMB,270,190,reference,fish,23,0.0898,8.59023,0.010453736,560,0.041071429
July,7/11/2024,LMB,295,285,reference,fish,3,0.08143,8.59023,0.009479374,560,0.005357143
July,7/11/2024,LMB,295,285,reference,trichoptera ,1,0.0014,8.59023,0.000162976,560,0.001785714
July,7/11/2024,LMB,303,320,reference,fish,1,0.0905,8.59023,0.010535224,560,0.001785714
July,7/11/2024,LMB,265,180,reference,fish,8,0.4049,8.59023,0.047134943,560,0.014285714
July,7/11/2024,LMB,276,220,reference,fish,26,0.05524,8.59023,0.006430561,560,0.046428571
July,7/11/2024,LMB,350,490,reference,fish,188,0.2255,8.59023,0.026250752,560,0.335714286
July,7/11/2024,LMB,265,180,reference,fish,9,0.07913,8.59023,0.009211628,560,0.016071429
July,7/11/2024,LMB,265,180,reference,odonata ,1,0.00291,8.59023,0.000338757,560,0.001785714
July,7/11/2024,LMB,310,300,reference,fish,1,0.002,8.59023,0.000232823,560,0.001785714
July,7/11/2024,LMB,310,300,reference,odonata ,1,0.0005,8.59023,5.82057E-05,560,0.001785714
July,7/11/2024,LMB,314,320,reference,odonata ,3,0.01798,8.59023,0.002093076,560,0.005357143
July,7/11/2024,LMB,276,185,reference,fish,2,0.0165,8.59023,0.001920787,560,0.003571429
July,7/11/2024,LMB,276,185,reference,odonata ,2,0.03699,8.59023,0.004306055,560,0.003571429
July,7/11/2024,LMB,275,210,reference,fish,7,0.04149,8.59023,0.004829906,560,0.0125
July,7/11/2024,LMB,275,210,reference,odonata ,1,0.00092,8.59023,0.000107098,560,0.001785714
July,7/11/2024,LMB,275,210,reference,aquainv,1,0.00118,8.59023,0.000137365,560,0.001785714
July,7/11/2024,LMB,299,260,reference,fish,1,0.00519,8.59023,0.000604175,560,0.001785714
July,7/11/2024,LMB,299,260,reference,odonata ,3,0.00015,8.59023,1.74617E-05,560,0.005357143
July,7/11/2024,LMB,234,110,reference,fish,1,0.02209,8.59023,0.002571526,560,0.001785714
July,7/11/2024,LMB,234,110,reference,odonata ,1,0.00055,8.59023,6.40262E-05,560,0.001785714
July,7/11/2024,LMB,275,200,reference,fish,5,0.06639,8.59023,0.007728547,560,0.008928571
July,7/11/2024,LMB,260,190,reference,fish,5,0.13355,8.59023,0.015546732,560,0.008928571
July,7/11/2024,LMB,299,260,reference,fish,5,0.29771,8.59023,0.034656814,560,0.008928571
July,7/16/2024,LMB,291,270,reference,odonata ,1,0.00949,8.59023,0.001104743,560,0.001785714
July,7/16/2024,LMB,295,240,reference,fish,6,0.0691,8.59023,0.008044022,560,0.010714286
July,7/16/2024,LMB,289,185,reference,fish,4,0.07142,8.59023,0.008314096,560,0.007142857
July,7/16/2024,LMB,238,120,reference,fish,3,0.02659,8.59023,0.003095377,560,0.005357143
July,7/16/2024,LMB,264,175,reference,fish,1,0.02006,8.59023,0.002335211,560,0.001785714
July,7/16/2024,LMB,264,175,reference,odonata ,1,0.00639,8.59023,0.000743868,560,0.001785714
July,7/16/2024,LMB,340,410,reference,fish,3,0.11031,8.59023,0.012841333,560,0.005357143
July,7/16/2024,LMB,290,255,reference,fish,3,0.09435,8.59023,0.010983408,560,0.005357143
July,7/16/2024,LMB,290,255,reference,odonata ,15,0.01348,8.59023,0.001569225,560,0.026785714
July,7/16/2024,LMB,290,255,reference,terver,1,0.4139,8.59023,0.048182645,560,0.001785714
July,7/16/2024,LMB,262,165,reference,fish,5,0.03868,8.59023,0.00450279,560,0.008928571
June,6/20/2024,LMB,342,450,treatment,fish,1,0.09197,15.69982,0.005858029,234,0.004273504
June,6/20/2024,LMB,290,270,treatment,odonata ,2,0.01262,15.69982,0.000803831,234,0.008547009
June,6/20/2024,LMB,290,270,treatment,fish,3,0.40681,15.69982,0.025911762,234,0.012820513
June,6/20/2024,LMB,279,240,treatment,fish,22,0.11657,15.69982,0.007424926,234,0.094017094
June,6/20/2024,LMB,279,240,treatment,odonata ,2,0.00791,15.69982,0.000503827,234,0.008547009
June,6/20/2024,LMB,305,330,treatment,fish,3,1.88543,15.69982,0.12009246,234,0.012820513
June,6/20/2024,LMB,305,330,treatment,odonata ,3,0.02008,15.69982,0.001278996,234,0.012820513
June,6/20/2024,LMB,402,770,treatment,fish,1,2.7067,15.69982,0.17240325,234,0.004273504
June,6/20/2024,LMB,365,480,treatment,odonata ,2,0.00776,15.69982,0.000494273,234,0.008547009
June,6/20/2024,LMB,284,230,treatment,fish,28,0.17082,15.69982,0.01088038,234,0.11965812
June,6/20/2024,LMB,284,230,treatment,odonata ,2,0.00558,15.69982,0.000355418,234,0.008547009
June,6/20/2024,LMB,327,390,treatment,odonata ,1,0.0043,15.69982,0.000273888,234,0.004273504
June,6/20/2024,LMB,310,320,treatment,fish,9,0.04742,15.69982,0.003020417,234,0.038461538
June,6/20/2024,LMB,311,330,treatment,fish,1,1.5558,15.69982,0.099096678,234,0.004273504
June,6/20/2024,LMB,275,200,treatment,odonata ,1,0.0615,15.69982,0.003917242,234,0.004273504
June,6/20/2024,LMB,298,260,treatment,fish,2,0.02889,15.69982,0.001840148,234,0.008547009
June,6/20/2024,LMB,380,720,treatment,diptera,1,0.00009,15.69982,5.73255E-06,234,0.004273504
June,6/20/2024,LMB,380,720,treatment,fish,1,1.63052,15.69982,0.103855968,234,0.004273504
June,6/20/2024,LMB,380,720,treatment,odonata ,1,0.00014,15.69982,8.9173E-06,234,0.004273504
June,6/20/2024,LMB,333,370,treatment,fish,1,0.06304,15.69982,0.004015333,234,0.004273504
June,6/20/2024,LMB,333,370,treatment,odonata ,2,0.00362,15.69982,0.000230576,234,0.008547009
June,6/20/2024,LMB,340,440,treatment,fish,4,0.01192,15.69982,0.000759244,234,0.017094017
June,6/20/2024,LMB,340,440,treatment,odonata ,1,0.00217,15.69982,0.000138218,234,0.004273504
June,6/20/2024,LMB,324,420,treatment,fish,5,0.25075,15.69982,0.015971521,234,0.021367521
June,6/20/2024,LMB,233,130,treatment,fish,11,0.0733,15.69982,0.004668843,234,0.047008547
June,6/20/2024,LMB,233,130,treatment,odonata ,1,0.00262,15.69982,0.000166881,234,0.004273504
June,6/20/2024,LMB,233,130,treatment,terinv,1,0.00113,15.69982,7.19753E-05,234,0.004273504
June,6/20/2024,LMB,280,200,treatment,fish,2,0.01514,15.69982,0.000964342,234,0.008547009
June,6/20/2024,LMB,315,330,treatment,odonata ,1,0.01402,15.69982,0.000893004,234,0.004273504
June,6/20/2024,LMB,364,670,treatment,fish,1,1.68245,15.69982,0.107163649,234,0.004273504
June,6/20/2024,LMB,336,440,treatment,fish,10,0.93781,15.69982,0.059733806,234,0.042735043
June,6/20/2024,LMB,352,440,treatment,fish,1,0.39689,15.69982,0.025279908,234,0.004273504
June,6/20/2024,LMB,352,440,treatment,odonata ,1,0.0148,15.69982,0.000942686,234,0.004273504
June,6/27/2024,LMB,335,390,treatment,fish,1,0.04187,15.69982,0.00266691,234,0.004273504
June,6/27/2024,LMB,304,285,treatment,fish,2,0.02094,15.69982,0.001333773,234,0.008547009
June,6/27/2024,LMB,288,280,treatment,fish,1,0.02075,15.69982,0.001321671,234,0.004273504
June,6/27/2024,LMB,288,280,treatment,odonata ,1,0.07475,15.69982,0.004761201,234,0.004273504
June,6/27/2024,LMB,267,210,treatment,fish,2,0.06422,15.69982,0.004090493,234,0.008547009
June,6/27/2024,LMB,288,250,treatment,fish,9,0.28084,15.69982,0.017888103,234,0.038461538
June,6/27/2024,LMB,289,220,treatment,fish,1,0.00181,15.69982,0.000115288,234,0.004273504
June,6/27/2024,LMB,289,220,treatment,odonata ,3,0.03111,15.69982,0.001981551,234,0.012820513
June,6/27/2024,LMB,332,340,treatment,odonata ,1,0.07315,15.69982,0.004659289,234,0.004273504
June,6/27/2024,LMB,290,225,treatment,fish,2,0.12892,15.69982,0.008211559,234,0.008547009
June,6/19/2024,LMB,252,150,treatment,fish,1,0.0116,15.69982,0.000738862,234,0.004273504
June,6/20/2024,LMB,340,410,treatment,fish,1,0.22802,15.69982,0.014523733,234,0.004273504
June,6/19/2024,LMB,269,200,treatment,coleoptera ,1,0.00141,15.69982,8.98099E-05,234,0.004273504
June,6/19/2024,LMB,269,200,treatment,fish,32,0.18985,15.69982,0.012092495,234,0.136752137
June,6/19/2024,LMB,295,240,treatment,fish,1,0.01485,15.69982,0.000945871,234,0.004273504
July,7/15/2024,LMB,280,205,treatment,fish,10,0.04622,15.69982,0.002943983,234,0.042735043
July,7/15/2024,LMB,280,205,treatment,odonata ,1,0.01586,15.69982,0.001010203,234,0.004273504
July,7/15/2024,LMB,280,205,treatment,aquainv,1,0.00011,15.69982,7.00645E-06,234,0.004273504
July,7/15/2024,LMB,351,480,treatment,fish,3,0.04949,15.69982,0.003152265,234,0.012820513
July,7/15/2024,LMB,351,480,treatment,terinv,1,0.00252,15.69982,0.000160511,234,0.004273504
July,7/15/2024,LMB,288,240,treatment,terinv,1,0.00008,15.69982,5.0956E-06,234,0.004273504
July,7/15/2024,LMB,334,400,treatment,fish,1,1.21243,15.69982,0.077225726,234,0.004273504
July,7/16/2024,LMB,288,275,treatment,fish,1,0.41454,15.69982,0.026404124,234,0.004273504
July,7/16/2024,LMB,288,275,treatment,odonata ,1,0.05473,15.69982,0.003486027,234,0.004273504
July,7/16/2024,LMB,298,285,treatment,fish,1,0.33505,15.69982,0.021341009,234,0.004273504
July,7/16/2024,LMB,281,210,treatment,fish,1,0.00509,15.69982,0.000324208,234,0.004273504
July,7/16/2024,LMB,280,210,treatment,coleoptera ,3,0.03403,15.69982,0.002167541,234,0.012820513
July,7/16/2024,LMB,280,210,treatment,fish,4,0.04076,15.69982,0.002596208,234,0.017094017
July,7/16/2024,LMB,280,210,treatment,terinv,1,0.00297,15.69982,0.000189174,234,0.004273504
July,7/16/2024,LMB,280,210,treatment,aquainv,6,0.02224,15.69982,0.001416577,234,0.025641026
July,7/16/2024,LMB,238,110,treatment,coleoptera ,2,0.0104,15.69982,0.000662428,234,0.008547009
July,7/16/2024,LMB,238,110,treatment,fish,2,0.00668,15.69982,0.000425483,234,0.008547009
July,7/16/2024,LMB,238,110,treatment,odonata ,4,0.00402,15.69982,0.000256054,234,0.017094017
July,7/16/2024,LMB,238,110,treatment,trichoptera ,1,0.00741,15.69982,0.00047198,234,0.004273504
July,7/16/2024,LMB,307,280,treatment,odonata ,1,0.01907,15.69982,0.001214664,234,0.004273504
July,7/16/2024,LMB,307,280,treatment,terinv,1,0.00146,15.69982,9.29947E-05,234,0.004273504
